target,model,origin,horizon_step,period_index,actual,forecast,lower,upper,signed_error,absolute_error,interval_hit,interval_width,rolling_mae,rolling_bias,rolling_wape
actionable_probability_mass,exponential_smoothing,76,1,76,0.3528092722819265,0.5112215885851189,0.01980968636048408,0.9840675471722731,0.1584123163031924,0.1584123163031924,1,0.964257860811789,0.16740847812652673,-0.08820231592102976,0.7750115614276292
actionable_probability_mass,exponential_smoothing,76,2,77,0.0,0.5112215885851189,0.0,1.1799267561323792,0.5112215885851189,0.5112215885851189,1,1.1799267561323792,0.2952138752728064,0.03960308122524994,1.3666820760257865
actionable_probability_mass,exponential_smoothing,78,1,78,0.0,5.2572678721316744e-09,0.0,0.47210162475866685,5.2572678721316744e-09,5.2572678721316744e-09,1,0.47210162475866685,0.29521387456017306,0.039603080512616566,1.366682072726676
actionable_probability_mass,exponential_smoothing,78,2,79,0.0,5.2572678721316744e-09,0.0,0.6676525183744487,5.2572678721316744e-09,5.2572678721316744e-09,1,0.6676525183744487,0.1674084788507118,0.16740847885071178,1.8980054324302147
actionable_probability_mass,exponential_smoothing,80,1,80,0.0,1.1673479676525377e-24,0.0,0.4713572804156438,1.1673479676525377e-24,1.1673479676525377e-24,1,0.4713572804156438,0.1278053997749137,0.12780539977491367,
actionable_probability_mass,exponential_smoothing,80,2,81,0.0,1.1673479676525377e-24,0.0,0.6665998586871016,1.1673479676525377e-24,1.1673479676525377e-24,1,0.6665998586871016,2.6286339638214132e-09,2.6286339568825193e-09,
actionable_probability_mass,exponential_smoothing,82,1,82,0.0,2.5920331828744595e-40,0.0,0.45960757037193817,2.5920331828744595e-40,2.5920331828744595e-40,1,0.45960757037193817,1.3143169957884948e-09,1.314316988849601e-09,
actionable_probability_mass,exponential_smoothing,82,2,83,0.3594509757342988,2.5920331828744595e-40,0.0,0.6499832593893416,-0.3594509757342988,0.3594509757342988,1,0.6499832593893416,0.08986274393357473,-0.08986274393357467,1.0000000000000002
actionable_probability_mass,exponential_smoothing,84,1,84,0.0,0.35945097037806184,0.0,0.7969758407092882,0.35945097037806184,0.35945097037806184,1,0.7969758407092882,0.17972548652809017,-1.3390592107365151e-09,1.9999999850988388
actionable_probability_mass,exponential_smoothing,84,2,85,0.0,0.35945097037806184,0.0,0.9782045758760118,0.35945097037806184,0.35945097037806184,1,0.9782045758760118,0.26958822912260566,0.08986274125545625,2.999999970197678
actionable_probability_mass,exponential_smoothing,86,1,86,0.0,0.012675650395715467,0.0,0.42743277431347776,0.012675650395715467,0.012675650395715467,1,0.42743277431347776,0.27275714172153454,0.09303165385438511,3.0352638900404916
actionable_probability_mass,exponential_smoothing,86,2,87,0.0,0.012675650395715467,0.0,0.5992308001310734,0.012675650395715467,0.012675650395715467,1,0.5992308001310734,0.1860633103868887,0.18606331038688867,
actionable_probability_mass,exponential_smoothing,88,1,88,0.0,1.772230111718806e-32,0.0,0.3929112162758387,1.772230111718806e-32,1.772230111718806e-32,1,0.3929112162758387,0.09620056779237322,0.09620056779237322,
actionable_probability_mass,exponential_smoothing,88,2,89,0.0,1.772230111718806e-32,0.0,0.5556603708657994,1.772230111718806e-32,1.772230111718806e-32,1,0.5556603708657994,0.0063378251978577615,0.0063378251978577615,
actionable_probability_mass,exponential_smoothing,90,1,90,0.0,3.935141349928464e-48,0.0,0.3706043892481465,3.935141349928464e-48,3.935141349928464e-48,1,0.3706043892481465,0.0031689125989288946,0.0031689125989288946,
actionable_probability_mass,exponential_smoothing,90,2,91,0.0,3.935141349928464e-48,0.0,0.5241137535497264,3.935141349928464e-48,3.935141349928464e-48,1,0.5241137535497264,2.775557561562892e-17,2.775557561562892e-17,
actionable_probability_mass,exponential_smoothing,92,1,92,0.0,8.737769063690201e-64,0.0,0.3592268487473169,8.737769063690201e-64,8.737769063690201e-64,1,0.3592268487473169,2.7755575615628914e-17,2.7755575615628914e-17,
actionable_probability_mass,exponential_smoothing,92,2,93,0.0,8.737769063690201e-64,0.0,0.508023481467004,8.737769063690201e-64,8.737769063690201e-64,1,0.508023481467004,2.7755575615628914e-17,2.7755575615628914e-17,
actionable_probability_mass,exponential_smoothing,94,1,94,0.0,1.9401744796732515e-79,0.0,0.3587785947733531,1.9401744796732515e-79,1.9401744796732515e-79,1,0.3587785947733531,2.7755575615628914e-17,2.7755575615628914e-17,
actionable_probability_mass,exponential_smoothing,94,2,95,0.0,1.9401744796732515e-79,0.0,0.5073895546176368,1.9401744796732515e-79,1.9401744796732515e-79,1,0.5073895546176368,2.7755575615628914e-17,2.7755575615628914e-17,
actionable_probability_mass,exponential_smoothing,96,1,96,0.0,4.308052758246753e-95,0.0,0.3583303407993893,4.308052758246753e-95,4.308052758246753e-95,1,0.3583303407993893,2.7755575615628914e-17,2.7755575615628914e-17,
