target,model,origin,horizon_step,period_index,actual,forecast,lower,upper
actionable_probability_mass,naive,158,2,159,0.0,0.6354096769345648,0.0,1.3458419590657307
actionable_probability_mass,naive,160,1,160,0.5800632125254277,0.0,0.0,0.5020254124646379
actionable_probability_mass,naive,160,2,161,1.3911324457793728,0.0,0.0,0.7099711469634381
actionable_probability_mass,naive,162,1,162,1.017828887491562,1.3911324457793728,0.8514682884468543,1.8991327353853595
actionable_probability_mass,naive,162,2,163,0.0,1.3911324457793728,0.6279320753530773,2.109553345029619
actionable_probability_mass,naive,164,1,164,0.0,0.0,0.0,0.5070661716210322
actionable_probability_mass,naive,164,2,165,0.0,0.0,0.0,0.7170998569270671
actionable_probability_mass,naive,166,1,166,0.0,0.0,0.0,0.5061320536360775
actionable_probability_mass,naive,166,2,167,0.0,0.0,0.0,0.7157788146038876
actionable_probability_mass,naive,168,1,168,0.0,0.0,0.0,0.505197935651123
actionable_probability_mass,naive,168,2,169,0.0,0.0,0.0,0.7144577722807084
actionable_probability_mass,naive,170,1,170,0.0,0.0,0.0,0.5042638176661685
actionable_probability_mass,naive,170,2,171,0.0,0.0,0.0,0.713136729957529
actionable_probability_mass,naive,172,1,172,0.0,0.0,0.0,0.5033296996812138
actionable_probability_mass,naive,172,2,173,0.0,0.0,0.0,0.7118156876343494
actionable_probability_mass,naive,174,1,174,0.5096123265386545,0.0,0.0,0.5030036278770699
actionable_probability_mass,naive,174,2,175,0.4366014418972328,0.0,0.0,0.7113545524666217
actionable_probability_mass,naive,176,1,176,1.044097448719256,0.4366014418972328,0.0,0.9427334955333103
actionable_probability_mass,naive,176,2,177,0.991478440361898,0.4366014418972328,0.0,1.1523802565011203
actionable_probability_mass,naive,178,1,178,0.516949552947876,0.991478440361898,0.45896532614669605,1.499525414767569
actionable_probability_mass,naive,178,2,179,0.0,0.991478440361898,0.23839117209722638,1.7099653618890145
actionable_probability_mass,naive,180,1,180,0.8981660363312793,0.0,0.0,0.5080236320058288
actionable_probability_mass,naive,180,2,181,0.9494105328178822,0.0,0.0,0.7184539103886814
actionable_probability_mass,naive,182,1,182,0.5524034726320426,0.9494105328178822,0.4216647806808914,1.457527534423079
actionable_probability_mass,naive,182,2,183,0.5204824975521292,0.9494105328178822,0.20306533266095994,1.6679964877603033
actionable_probability_mass,naive,184,1,184,0.4913962000387968,0.5204824975521292,0.0,1.028576156757484
actionable_probability_mass,naive,184,2,185,0.0,0.5204824975521292,0.0,1.2390354413561153
actionable_probability_mass,naive,186,1,186,5.478097900087287,0.0,0.0,0.5080703168055127
actionable_probability_mass,naive,186,2,187,1.030309381271616,0.0,0.0,0.7185199326655511
actionable_probability_mass,naive,188,1,188,0.4765221464784964,1.030309381271616,0.497796267056414,1.5390245128501958
actionable_probability_mass,naive,188,2,189,0.8704999053222775,1.030309381271616,0.2772221130069443,1.749741219734457
actionable_probability_mass,naive,190,1,190,0.968684185434698,0.8704999053222775,0.3299475100389182,1.3789159719141657
actionable_probability_mass,naive,190,2,191,0.0,0.8704999053222775,0.10604337673928843,1.5895088020249086
actionable_probability_mass,naive,192,1,192,0.0,0.0,0.0,0.5081170016051968
actionable_probability_mass,naive,192,2,193,0.0,0.0,0.0,0.7185859549424211
actionable_probability_mass,naive,194,1,194,0.4443714694673871,0.0,0.0,0.5080936592053548
actionable_probability_mass,naive,194,2,195,4.664553450828253,0.0,0.0,0.7185529438039862
actionable_probability_mass,naive,196,1,196,0.0,4.664553450828253,4.122224579643212,5.173567647393524
actionable_probability_mass,naive,196,2,197,0.4230449608798826,4.664553450828253,3.8975846059318764,5.384408231051304
actionable_probability_mass,naive,198,1,198,0.0,0.4230449608798826,0.0,0.9317600924584624
actionable_probability_mass,naive,198,2,199,0.3945118938878325,0.4230449608798826,0.0,1.1424767993427238
actionable_probability_mass,naive,200,1,200,0.5239118201949037,0.3945118938878325,0.0,0.9029279604797208
actionable_probability_mass,naive,200,2,201,1.0849526675235128,0.3945118938878325,0.0,1.1135207905904636
actionable_probability_mass,naive,202,1,202,0.0,1.0849526675235128,0.5408473204367903,1.5945649940621673
actionable_probability_mass,naive,202,2,203,0.0,1.0849526675235128,0.31547150631374954,1.8056533312669845
actionable_probability_mass,naive,204,1,204,0.0,0.0,0.0,0.509313261551963
actionable_probability_mass,naive,204,2,205,0.4977694258197623,0.0,0.0,0.7202777219832616
actionable_probability_mass,naive,206,1,206,7.045440697420234,0.4977694258197623,0.0,1.0067836223850337
actionable_probability_mass,naive,206,2,207,22.273457775449653,0.4977694258197623,0.0,1.2176242060428137
actionable_probability_mass,naive,208,1,208,5.128998030113391,22.273457775449653,21.725479673280372,22.787360215459817
actionable_probability_mass,naive,208,2,209,26.13530330444996,22.273457775449653,21.498499711478384,23.000225575848653
actionable_probability_mass,mean,12,1,12,0.0,0.2372483107814614,0.0,1.2556992755364893
actionable_probability_mass,mean,12,2,13,0.4747068174892888,0.2372483107814614,0.0,1.677555477749985
actionable_probability_mass,mean,14,1,14,0.0,0.2965866629676225,0.0,1.1434987668008791
actionable_probability_mass,mean,14,2,15,0.0,0.2965866629676225,0.0,1.494301246346545
actionable_probability_mass,mean,16,1,16,0.0,0.23771352410852672,0.0,1.031298258065268
actionable_probability_mass,mean,16,2,17,0.0,0.23771352410852672,0.0,1.360011817762395
actionable_probability_mass,mean,18,1,18,0.8775562599634154,0.15318797546444135,0.0,0.9190977493296582
actionable_probability_mass,mean,18,2,19,0.0,0.15318797546444135,0.0,1.2363479652187412
actionable_probability_mass,mean,20,1,20,0.0,0.169032884681588,0.0,0.9209805869575038
actionable_probability_mass,mean,20,2,21,0.0,0.169032884681588,0.0,1.2324475234354746
actionable_probability_mass,mean,22,1,22,0.0,0.10969453249542692,0.0,0.8648803325896983
actionable_probability_mass,mean,22,2,23,0.0,0.10969453249542692,0.0,1.1776885331003224
actionable_probability_mass,mean,24,1,24,0.0,0.10969453249542692,0.0,0.8395284778422633
actionable_probability_mass,mean,24,2,25,0.0,0.10969453249542692,0.0,1.141835596285187
actionable_probability_mass,mean,26,1,26,0.0,0.10969453249542692,0.0,0.8141766230948286
actionable_probability_mass,mean,26,2,27,0.0,0.10969453249542692,0.0,1.1059826594700524
actionable_probability_mass,mean,28,1,28,0.0,0.0,0.0,0.788824768347394
actionable_probability_mass,mean,28,2,29,0.0,0.0,0.0,1.1155666857326996
actionable_probability_mass,mean,30,1,30,0.0,0.0,0.0,0.7634729135999594
actionable_probability_mass,mean,30,2,31,0.0,0.0,0.0,1.0797137489175648
actionable_probability_mass,mean,32,1,32,0.0,0.0,0.0,0.7433377265188862
actionable_probability_mass,mean,32,2,33,0.0,0.0,0.0,1.0512382942665917
actionable_probability_mass,mean,34,1,34,0.3572097058644798,0.0,0.0,0.7284192071041742
actionable_probability_mass,mean,34,2,35,0.0,0.0,0.0,1.0301403217797795
actionable_probability_mass,mean,36,1,36,0.0,0.044651213233059976,0.0,0.7135006876894624
actionable_probability_mass,mean,36,2,37,0.0,0.044651213233059976,0.0,0.9905472111954213
actionable_probability_mass,mean,38,1,38,0.0,0.044651213233059976,0.0,0.698582168274751
actionable_probability_mass,mean,38,2,39,0.0,0.044651213233059976,0.0,0.9694492387086101
actionable_probability_mass,mean,40,1,40,0.0,0.044651213233059976,0.0,0.6836636488600389
actionable_probability_mass,mean,40,2,41,0.0,0.044651213233059976,0.0,0.948351266221798
actionable_probability_mass,mean,42,1,42,0.0,0.044651213233059976,0.0,0.6560546319863433
actionable_probability_mass,mean,42,2,43,0.0,0.044651213233059976,0.0,0.90930622011523
actionable_probability_mass,mean,44,1,44,0.0,0.0,0.0,0.6157551176536653
actionable_probability_mass,mean,44,2,45,0.0,0.0,0.0,0.8708092384864543
actionable_probability_mass,mean,46,1,46,0.0,0.0,0.0,0.5754556033209859
actionable_probability_mass,mean,46,2,47,0.0,0.0,0.0,0.8138171187601302
actionable_probability_mass,mean,48,1,48,0.0,0.0,0.0,0.5351560889883079
actionable_probability_mass,mean,48,2,49,0.0,0.0,0.0,0.7568249990338081
actionable_probability_mass,mean,50,1,50,0.5179237057210372,0.0,0.0,0.4948565746556285
actionable_probability_mass,mean,50,2,51,0.5545450699846328,0.0,0.0,0.6998328793074838
actionable_probability_mass,mean,52,1,52,0.0,0.13405859696320876,0.0,0.5508829335582732
actionable_probability_mass,mean,52,2,53,0.0,0.13405859696320876,0.0,0.723537226903117
actionable_probability_mass,mean,54,1,54,0.0,0.13405859696320876,0.0,0.5435586607055543
actionable_probability_mass,mean,54,2,55,0.0,0.13405859696320876,0.0,0.7131791409002807
actionable_probability_mass,mean,56,1,56,0.0,0.13405859696320876,0.0,0.5362343878528351
actionable_probability_mass,mean,56,2,57,0.0,0.13405859696320876,0.0,0.7028210548974441
actionable_probability_mass,mean,58,1,58,0.0,0.13405859696320876,0.0,0.5289101150001161
actionable_probability_mass,mean,58,2,59,0.0,0.13405859696320876,0.0,0.6924629688946078
actionable_probability_mass,mean,60,1,60,0.0,0.0,0.0,0.5215858421473968
actionable_probability_mass,mean,60,2,61,0.0,0.0,0.0,0.7376337719066409
